plot,year,rate,pattern,block,rye_bio,rye_kg
101,2022,112,row,1,99.8,3992
102,2022,28,row,1,57.2,2288
103,2022,112,grid,1,66.2,2648
104,2022,56,row,1,73.3,2932
105,2022,168,grid,1,47.2,1888
106,2022,0,row,1,0,0
106,2022,0,grid,1,0,0
107,2022,56,grid,1,104.8,4192
108,2022,28,grid,1,62.2,2488
109,2022,168,row,1,77.9,3116
201,2022,112,grid,2,51.3,2052
202,2022,168,row,2,71.3,2852
203,2022,112,row,2,41.7,1668
204,2022,56,row,2,46.8,1872
205,2022,0,row,2,0,0
205,2022,0,grid,2,0,0
206,2022,56,grid,2,26.8,1072
207,2022,28,row,2,22.4,896
208,2022,28,grid,2,49.3,1972
209,2022,168,grid,2,107.6,4304
301,2022,56,grid,3,59.6,2384
302,2022,28,grid,3,92,3680
303,2022,112,row,3,75.7,3028
304,2022,28,row,3,74.7,2988
305,2022,112,grid,3,56.5,2260
306,2022,168,grid,3,113.1,4524
307,2022,168,row,3,82.9,3316
308,2022,56,row,3,53.7,2148
309,2022,0,row,3,0,0
309,2022,0,grid,3,0,0
101,2023,28,row,1,107.6,4304
102,2023,112,row,1,156.4,6256
103,2023,112,grid,1,118.5,4740
104,2023,168,grid,1,142.2,5688
105,2023,168,row,1,142.4,5696
106,2023,28,grid,1,128.6,5144
107,2023,56,grid,1,93.1,3724
108,2023,0,row,1,0,0
108,2023,0,grid,1,0,0
109,2023,56,row,1,136.5,5460
201,2023,56,grid,2,109.6,4384
202,2023,56,row,2,84.5,3380
203,2023,168,row,2,84.7,3388
204,2023,28,row,2,133.6,5344
205,2023,0,row,2,0,0
205,2023,0,grid,2,0,0
206,2023,168,grid,2,131.5,5260
207,2023,28,grid,2,127.8,5112
208,2023,112,grid,2,104,4160
209,2023,112,row,2,145.1,5804
301,2023,0,row,3,0,0
301,2023,0,grid,3,0,0
302,2023,56,row,3,79.8,3192
303,2023,56,grid,3,134.1,5364
304,2023,112,row,3,133.9,5356
305,2023,168,row,3,124.1,4964
306,2023,28,row,3,63.5,2540
307,2023,28,grid,3,95.6,3824
308,2023,168,grid,3,113.3,4532
309,2023,112,grid,3,70.8,2832