plot,year,rate,pattern,block,AMBEL,AMARE,SETFA,SETPU,DIGSA,DIGIS,VIOAR,OXAST,CHEAL,ERICA,SECCE,CERVU,MEDLU,SOPT7,VERAR,ABUTH,TAROF,STEME,ANGAR,TRFPR,PLAMA,ACCVI,CYPES,POLPE,CRUNU,PANDI,PRNSO,PLALA,VERPG,THLAR,POLCO,VICVI,POAAN
101,1,112,row,1,12,0,267,0,0,2,0,2,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,28,row,1,19,0,135,0,0,4,0,1,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,112,grid,1,19,0,82,2,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,56,row,1,19,0,163,0,1,0,5,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,168,grid,1,29,0,108,0,0,0,0,1,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,0,na,1,18,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,56,grid,1,14,0,146,6,0,0,0,1,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,1,28,grid,1,10,0,40,1,0,0,3,0,0,2,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,1,168,row,1,4,0,118,0,0,2,2,0,0,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1,112,grid,2,7,1,114,11,0,0,2,0,0,5,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,1,168,row,2,9,3,56,0,7,1,5,1,1,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,1,112,row,2,7,0,111,7,0,1,5,1,0,1,9,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1,56,row,2,6,0,132,24,0,0,1,0,0,0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1,0,na,2,10,0,64,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,1,56,grid,2,18,0,169,2,0,1,2,0,0,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
207,1,28,row,2,6,0,159,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,28,grid,2,10,0,85,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,168,grid,2,9,0,140,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1,56,grid,3,4,0,263,13,13,3,3,4,0,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
302,1,28,grid,3,24,0,301,2,0,0,0,3,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,1,112,row,3,8,0,356,0,0,2,1,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1,28,row,3,21,0,172,4,2,0,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
305,1,112,grid,3,12,0,181,3,1,8,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
306,1,168,grid,3,7,0,366,0,2,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,1,168,row,3,10,0,162,2,9,38,1,3,0,4,0,1,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1,56,row,3,23,0,170,0,17,0,4,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
309,1,0,na,3,20,4,418,32,3,4,0,4,4,0,0,4,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0
101,2,28,row,1,15,0,71,0,2,10,0,3,8,0,9,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,2,112,row,1,4,0,84,10,15,97,0,0,3,0,13,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,112,grid,1,23,2,98,21,6,39,0,1,0,0,12,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
104,2,168,grid,1,16,0,91,0,1,0,0,6,1,0,18,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,2,168,row,1,15,1,84,6,0,0,0,1,1,0,21,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
106,2,28,grid,1,34,1,123,4,0,0,0,0,4,0,25,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,56,grid,1,17,3,96,2,0,0,0,4,0,0,26,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2,0,na,1,29,0,87,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
109,2,56,row,1,33,3,36,4,0,0,0,6,2,1,13,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,2,56,grid,2,33,4,142,0,0,0,0,2,0,3,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202,2,56,row,2,26,0,154,0,0,1,0,1,0,0,61,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
203,2,168,row,2,12,0,56,0,0,0,0,12,0,0,37,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0
204,2,28,row,2,16,2,50,0,0,0,0,1,0,1,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2,0,na,2,29,0,74,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206,2,168,grid,2,22,0,29,0,0,0,0,5,2,0,7,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2,28,grid,2,33,1,74,0,0,0,0,1,3,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2,112,grid,2,50,2,81,2,0,0,0,2,6,0,58,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2,112,row,2,33,1,67,0,0,0,0,7,3,0,47,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
301,2,0,na,3,16,0,42,0,0,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2,56,row,3,18,4,96,0,0,0,0,0,6,0,49,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
303,2,56,grid,3,24,0,100,0,0,0,0,5,3,0,36,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,2,112,row,3,8,0,73,1,0,0,0,1,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2,168,row,3,17,7,63,9,0,0,0,0,0,0,14,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2,28,row,3,16,0,80,9,3,8,0,14,16,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
307,2,28,grid,3,13,1,36,21,0,0,0,3,3,0,6,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
308,2,168,grid,3,16,0,19,8,0,0,0,1,0,0,4,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
309,2,112,grid,3,9,0,56,5,0,8,0,0,0,0,5,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0