plot,year,rate,pattern,block,rye.g,rye.bio,can_a,can_b,can_b_weedy,AMBEL,AMARE,SETFA,SETPU,DIGSA,DIGIS,VIOAR,OXAST,CHEAL,ERICA,SECCE,CERVU,MEDLU,SOPT7,VERAR,ABUTH,TAROF,STEME,ANGAR,TRFPR,PLAMA,ACCVI,CYPES,POLPE,CRUNU,PANDI,PRNSO,PLALA,VERPG,THLAR,POLCO,VICVI,POAAN,WEED.N,ambel.g,amare.g,setfa.g,setpu.g,digsa.g,digis.g,vioar.g,oxast.g,cheal.g,erica.g,secce.g,cervu.g,medlu.g,sopt7.g,verar.g,abuth.g,tarof.g,steme.g,angar.g,trfre.g,plama.g,accvi.g,cypes.g,polpe.g,crunu.g,pandi.g,prnso.g,plala.g,verpg.g,thlar.g,polco.g,vicvi.g,poaan.g,weed.g,weed.bio
101,1,112,row,1,99.8,3992,0.3035,0.1403,0.1335,12,0,267,0,0,2,0,2,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,20,0,48.5,0,0,0.074,0,0.042,0,0.076,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.092,1641.84
102,1,28,row,1,57.2,2288,0.1819,0.1593,0.1619,19,0,135,0,0,4,0,1,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,41.7,0,29.7,0,0,0.233,0,0.03,0,0.544,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.907,1618.14
103,1,112,grid,1,66.2,2648,0.1201,0.0786,0.0683,19,0,82,2,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,26.1,0,24.161,0.294,0.019,0,0.117,0.024,0,0.03,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.125,1022.5
104,1,56,row,1,73.3,2932,0.1811,0.1769,0.1793,19,0,163,0,1,0,5,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,24.6,0,31.884,0,0.011,0,0.209,0.028,0,0.031,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.963,1339.26
105,1,168,grid,1,47.2,1888,0.0785,0.1344,0.1247,29,0,108,0,0,0,0,1,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,40.8,0,23.216,0,0,0,0,0.041,0,0.165,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.922,1358.44
106,1,0,na,1,0,0,0.0001,0,0.0001,18,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,229.5,0,27.882,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.435,5148.7
107,1,56,grid,1,104.8,4192,0.2894,0.1749,0.1839,14,0,146,6,0,0,0,1,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,196,30.4,0,34.366,0.652,0,0,0,0.073,0,0.641,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,71.252,1425.04
108,1,28,grid,1,62.2,2488,0.1295,0.1052,0.1116,10,0,40,1,0,0,3,0,0,2,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,41.5,0,20.872,0,0,0,0.442,0.157,0,1.537,11.5,0,0,0,0,0.381,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,77.079,1541.58
109,1,168,row,1,77.9,3116,0.1911,0.1402,0.1485,4,0,118,0,0,2,2,0,0,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,5.4,0,51.307,0,0,0.214,0.035,0,0,0.319,1.8,0,0,0,0,0,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.564,1191.28
201,1,112,grid,2,51.3,2052,0.1215,0.1195,0.1273,7,1,114,11,0,0,2,0,0,5,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,16.9,0.016,24.6,1.459,0,0,0.096,0,0,1.888,1.7,0.074,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.133,962.66
202,1,168,row,2,71.3,2852,0.1841,0.1151,0.1267,9,3,56,0,7,1,5,1,1,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,29.2,0.093,14.54,0,0.399,0.065,0.343,0.029,0.026,0.675,4.5,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.938,998.76
203,1,112,row,2,41.7,1668,0.081,0.089,0.0914,7,0,111,7,0,1,5,1,0,1,9,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,161,8.6,0,22.777,1.266,0,0.071,0.388,0.134,0,0.048,1.6,0,0,0,0.02,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,37.704,754.08
204,1,56,row,2,46.8,1872,0.0938,0.0826,0.0868,6,0,132,24,0,0,1,0,0,0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,17.4,0,25.928,4.4,0,0,0.05,0,0,0,4.1,0,0,0,0.06,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.038,1080.76
205,1,0,na,2,0,0,0.0022,0.0001,0.0019,10,0,64,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,143.7,0,30.46,0,0.061,0,0.59,0.068,0,0,0,0,0.476,0,0,0,0,0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.856,3517.12
206,1,56,grid,2,26.8,1072,0.068,0.0787,0.0782,18,0,169,2,0,1,2,0,0,1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,220,25.1,0,32.94,0.267,0,0.061,0.13,0,0,0.033,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0,79.431,1588.62
207,1,28,row,2,22.4,896,0.0547,0.1038,0.1103,6,0,159,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,185,16.3,0,35.3,1.688,0,0,0.064,0,0,0,0,0.048,0,0,0,0,0,0,0,2.643,0,0,0,0,0,0,0,0,0,0,0,0,0,56.043,1120.86
208,1,28,grid,2,49.3,1972,0.1108,0.0794,0.0842,10,0,85,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,140,27.8,0,19.531,0,0,0,0.148,0,0,0.664,1.6,0.023,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,61.466,1229.32
209,1,168,grid,2,107.6,4304,0.3246,0.092,0.0896,9,0,140,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,14.3,0,34.4,0,0,0,0.017,0,0,0,13.1,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.889,1237.78
301,1,56,grid,3,59.6,2384,0.1771,0.1174,0.1284,4,0,263,13,13,3,3,4,0,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,326,4.3,0,53.429,3.7,0.604,0.098,0.201,0.071,0,1.061,3.1,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,66.863,1337.26
302,1,28,grid,3,92,3680,0.206,0.161,0.1634,24,0,301,2,0,0,0,3,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,19.6,0,44,0.343,0,0,0,0.051,0,0.006,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1,1502
303,1,112,row,3,75.7,3028,0.1874,0.1522,0.1551,8,0,356,0,0,2,1,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,9.6,0,43.2,0,0,0.062,0.044,0.032,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.838,1256.76
304,1,28,row,3,74.7,2988,0.2076,0.0774,0.0828,21,0,172,4,2,0,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,217,24.8,0,24.164,0.275,0.217,0,0.136,0.039,0,0.062,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585,51.578,1031.56
305,1,112,grid,3,56.5,2260,0.1962,0.1644,0.1765,12,0,181,3,1,8,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,235,7.4,0,20.819,0.576,0.025,0.477,0.062,0.015,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0,60.474,1209.48
306,1,168,grid,3,113.1,4524,0.3436,0.1365,0.1304,7,0,366,0,2,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,7.2,0,52.3,0,0.03,0,0,0.68,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.31,1446.2
307,1,168,row,3,82.9,3316,0.2395,0.1751,0.1737,10,0,162,2,9,38,1,3,0,4,0,1,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,248,21.6,0,36.747,0.579,0.606,3.005,0.086,0.099,0,1.137,0,0.024,0,0,0,0,0.075,0,0,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,64.493,1289.86
308,1,56,row,3,53.7,2148,0.0964,0.1372,0.1419,23,0,170,0,17,0,4,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,228,38.6,0,35.581,0,1.167,0,0.101,0.134,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,75.737,1514.74
309,1,0,na,3,0,0,0.0005,0.0002,0.0036,20,4,418,32,3,4,0,4,4,0,0,4,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,508,103.6,0.1,80.3,3.9,0.202,0.239,0,0.095,0.597,0,0,0.212,0,0.04,0.385,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0.861,0.107,0,0,190.841,3816.82
101,2,28,row,1,107.6,4304,0.1936,0.2497,0.2711,15,0,71,0,2,10,0,3,8,0,9,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,138,32.1,0,16.1,0,0.324,2,0,0.349,0.9,0,3.8,0,0,0,0,0,0.309,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,55.908,1118.16
102,2,112,row,1,156.4,6256,0.3818,0.3949,0.4568,4,0,84,10,15,97,0,0,3,0,13,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,241,6.2,0,15.5,1.4,0.9,5.7,0,0,0.073,0,4.9,0,0,0,0,0,1,0.02,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,35.841,716.82
103,2,112,grid,1,118.5,4740,0.2818,0.3654,0.3769,23,2,98,21,6,39,0,1,0,0,12,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,208,14.3,0.046,9.8,2.2,0.308,1.562,0,0.024,0,0,1.4,0,0,0,0,0,0.8,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0.024,30.562,611.24
104,2,168,grid,1,142.2,5688,0.2728,0.2456,0.2578,16,0,91,0,1,0,0,6,1,0,18,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,141,23.7,0,8.3,0,0.086,0,0,0.288,0.161,0,3.1,0,0,0,0,0.009,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.692,713.84
105,2,168,row,1,142.4,5696,0.2909,0.3154,0.3282,15,1,84,6,0,0,0,1,1,0,21,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,142,22.7,0.006,10.2,0.589,0,0,0,0.033,0.002,0,3,0,0,0,0,0,0.016,0.108,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,38.154,763.08
106,2,28,grid,1,128.6,5144,0.236,0.2516,0.2625,34,1,123,4,0,0,0,0,4,0,25,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,60.6,0.012,21.7,0.4,0,0,0,0,0.109,0,9.8,0,0,0,0,0.257,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.969,1859.38
107,2,56,grid,1,93.1,3724,0.1734,0.1682,0.174,17,3,96,2,0,0,0,4,0,0,26,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,44.8,0.186,12.7,0,0,0.101,0,0.162,0,0,8.1,0,0,0,0,0.187,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.248,1324.96
108,2,0,na,1,0,0,0.0001,0.0001,0.0002,29,0,87,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,131,179.9,0,28.2,0,0,0,0,0.108,14,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,223.133,4462.66
109,2,56,row,1,136.5,5460,0.2967,0.242,0.246,33,3,36,4,0,0,0,6,2,1,13,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,116,39.7,0.134,8.2,0.323,0,0,0,0.193,0.164,0.057,2.8,0,0,0,0,0,0.353,0,0,0,0,0,0.351,0,0,0,0,0,0,0,0,0,0,52.275,1045.5
201,2,56,grid,2,109.6,4384,0.2151,0.2049,0.2097,33,4,142,0,0,0,0,2,0,3,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,290,35.4,0.035,10.3,0,0,0,0,0.064,0,0.046,24.625,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,71.293,1425.86
202,2,56,row,2,84.5,3380,0.1927,0.1894,0.1899,26,0,154,0,0,1,0,1,0,0,61,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,247,37.9,0,15.6,0,0,0.062,0,0.045,0,0,18.8,0,0,0,0,0.191,0.01,0,0,0,0,0,0.231,0,0,0,0,0,0,0,0,0,0,72.839,1456.78
203,2,168,row,2,84.7,3388,0.2298,0.3058,0.3105,12,0,56,0,0,0,0,12,0,0,37,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,128,15.5,0,7.3,0,0,0,0,0.293,0,0,9.8,0,0,0,0,0.9,0.041,0,0,0,0,0,0.075,0,0,0,0.147,0.073,0,0,0,0,0,34.129,682.58
204,2,28,row,2,133.6,5344,0.2369,0.1432,0.1431,16,2,50,0,0,0,0,1,0,1,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,26.1,0.087,16.5,0,0,0,0,0.044,0,0.214,9.6,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.582,1051.64
205,2,0,na,2,0,0,0.0003,0,0.0003,29,0,74,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,117,171.9,0,14.3,0,0,0,0,0.615,0.8,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,187.744,3754.88
206,2,168,grid,2,131.5,5260,0.3,0.2879,0.2902,22,0,29,0,0,0,0,5,2,0,7,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,30.8,0,3.3,0,0,0,0,0.157,0.059,0,0.8,0,0,0,0,0.288,0.364,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.873,717.46
207,2,28,grid,2,127.8,5112,0.2974,0.1844,0.1857,33,1,74,0,0,0,0,1,3,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,103.7,0.028,14.3,0,0,0,0,0.003,0.089,0,19.3,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.502,2750.04
208,2,112,grid,2,104,4160,0.3104,0.2385,0.2415,50,2,81,2,0,0,0,2,6,0,58,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,213,48.3,0.032,6.1,0.151,0,0,0,0.016,0.154,0,12.7,0,0,0,0,0.051,0.013,0,0,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,68.152,1363.04
209,2,112,row,2,145.1,5804,0.3294,0.2793,0.2695,33,1,67,0,0,0,0,7,3,0,47,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,168,39.5,0.003,11.3,0,0,0,0,0.116,0.085,0,8.5,0,0,0,0,0.08,0.157,0,0,0.063,0,0,0,0,0,0,0.184,0,0,0,0,0,0,59.988,1199.76
301,2,0,na,3,0,0,0,0,0,16,0,42,0,0,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,147.3,0,10.7,0,0,0,0,0.057,175.7,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.805,6676.1
302,2,56,row,3,79.8,3192,0.1693,0.2341,0.2417,18,4,96,0,0,0,0,0,6,0,49,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,178,26.9,0.104,12.5,0,0,0,0,0,0.221,0,11.4,0,0,0,0,0,0.089,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,51.614,1032.28
303,2,56,grid,3,134.1,5364,0.2165,0.1695,0.1674,24,0,100,0,0,0,0,5,3,0,36,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,42.7,0,16.7,0,0,0,0,0.147,0.104,0,9.1,0,0,0,0,0.029,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.933,1378.66
304,2,112,row,3,133.9,5356,0.3272,0.3223,0.3216,8,0,73,1,0,0,0,1,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,13.6,0,9.1,0.107,0,0,0,0.145,0,0,3.6,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.852,617.04
305,2,168,row,3,124.1,4964,0.3742,0.3884,0.3978,17,7,63,9,0,0,0,0,0,0,14,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,23.4,0.06,6.5,1,0,0,0,0,0,0,2.2,0,0,0,0,0.006,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.274,665.48
306,2,28,row,3,63.5,2540,0.0997,0.0541,0.054,16,0,80,9,3,8,0,14,16,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,156,31.6,0,11,1.5,0.094,0.287,0,0.5,0.8,0,0,0,0,0,0,0,14,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0,0,59.904,1198.08
307,2,28,grid,3,95.6,3824,0.2163,0.203,0.2357,13,1,36,21,0,0,0,3,3,0,6,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,25.1,0.015,3.9,3.3,0,0,0,0.153,0.308,0,2.2,0,0,0,0,0,0.497,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,35.673,713.46
308,2,168,grid,3,113.3,4532,0.3361,0.2492,0.2667,16,0,19,8,0,0,0,1,0,0,4,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,22.9,0,4.4,0.695,0,0,0,0.079,0,0,0.7,0,0,0,0,0,3.5,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,32.484,649.68
309,2,112,grid,3,70.8,2832,0.211,0.1536,0.1625,9,0,56,5,0,8,0,0,0,0,5,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,9.1,0,5.9,0.23,0,0.246,0,0,0,0,1,0,0,0,0,0.127,8.1,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,24.71,494.2