plot,year,rate,pattern,block,rye.g,rye.bio,WEED.N.rel,weed.g.rel
101,1,112,row,1,99.8,3992,0.629383119,-0.496366755
102,1,28,row,1,57.2,2288,0.366362306,-0.502681494
103,1,112,grid,1,66.2,2648,0.150935773,-0.702034271
104,1,56,row,1,73.3,2932,0.455931956,-0.58483269
105,1,168,grid,1,47.2,1888,0.336225746,-0.578657126
107,1,56,grid,1,104.8,4192,0.405765346,-0.557870533
108,1,28,grid,1,62.2,2488,0.067751784,-0.52373152
109,1,168,row,1,77.9,3116,0.256524075,-0.635683737
201,1,112,grid,2,51.3,2052,0.2955671,-0.56271426
202,1,168,row,2,71.3,2852,0.109747238,-0.546726046
203,1,112,row,2,41.7,1668,0.303735889,-0.668769764
204,1,56,row,2,46.8,1872,0.382467322,-0.512457924
206,1,56,grid,2,26.8,1072,0.439332694,-0.34516716
207,1,28,row,2,22.4,896,0.364081741,-0.496635815
208,1,28,grid,2,49.3,1972,0.243038049,-0.456522239
209,1,168,grid,2,107.6,4304,0.356981401,-0.453543725
301,1,56,grid,3,59.6,2384,-0.192646112,-0.455485825
302,1,28,grid,3,92,3680,-0.14835651,-0.405031747
303,1,112,row,3,75.7,3028,-0.11036749,-0.48244933
304,1,28,row,3,74.7,2988,-0.369403978,-0.568207186
305,1,112,grid,3,56.5,2260,-0.33479585,-0.499102988
306,1,168,grid,3,113.1,4524,-0.070379965,-0.421473322
307,1,168,row,3,82.9,3316,-0.311412031,-0.471159104
308,1,56,row,3,53.7,2148,-0.347928865,-0.401363585
101,2,28,row,1,107.6,4304,0.022607791,-0.601089848
102,2,112,row,1,156.4,6256,0.264745747,-0.794183686
103,2,112,grid,1,118.5,4740,0.200792039,-0.863382033
104,2,168,grid,1,142.2,5688,0.031947817,-0.79599292
105,2,168,row,1,142.4,5696,0.035017049,-0.767023729
106,2,28,grid,1,128.6,5144,0.177194931,-0.380225645
107,2,56,grid,1,93.1,3724,0.073060403,-0.527391033
109,2,56,row,1,136.5,5460,-0.052813306,-0.630269763
201,2,56,grid,2,109.6,4384,0.394212136,-0.420519176
202,2,56,row,2,84.5,3380,0.324511092,-0.411202092
203,2,168,row,2,84.7,3388,0.039024108,-0.740442503
204,2,28,row,2,133.6,5344,-0.063864488,-0.552728966
206,2,168,grid,2,131.5,5260,-0.204863002,-0.718798369
207,2,28,grid,2,127.8,5112,0.144001743,-0.135257051
208,2,112,grid,2,104,4160,0.260193742,-0.440087461
209,2,112,row,2,145.1,5804,0.15712342,-0.495501684
302,2,56,row,3,79.8,3192,0.341934983,-0.81072532
303,2,56,grid,3,134.1,5364,0.327043428,-0.685065658
304,2,112,row,3,133.9,5356,0.116820846,-1.034209515
305,2,168,row,3,124.1,4964,0.15597297,-1.001387825
306,2,28,row,3,63.5,2540,0.284639579,-0.746037015
307,2,28,grid,3,95.6,3824,0.069238586,-0.971153204
308,2,168,grid,3,113.3,4532,-0.123155184,-1.011823336
309,2,112,grid,3,70.8,2832,0.152212821,-1.130620092