date,plot,seeding.rate,pattern,quadrat,canopy_percent,canopy_ratio,block,,,
12april22,101,112lbs,r,A,30.35,0.3035,1,,,
12april22,102,28lbs,r,A,18.19,0.1819,1,,,
12april22,103,112lbs,g,A,12.01,0.1201,1,,,
12april22,104,56lbs,r,A,18.11,0.1811,1,,,
12april22,105,168lbs,g,A,7.85,0.0785,1,,,
12april22,106,0lbs,na,A,0.01,0.0001,1,,,
12april22,107,56lbs,g,A,28.94,0.2894,1,,,
12april22,108,28lbs,g,A,12.95,0.1295,1,,,
12april22,109,168lbs,r,A,19.11,0.1911,1,,,
12april22,201,112lbs,g,A,12.15,0.1215,2,,,
12april22,202,168lbs,r,A,18.41,0.1841,2,,,
12april22,203,112lbs,r,A,8.1,0.081,2,,,
12april22,204,56lbs,r,A,9.38,0.0938,2,,,
12april22,205,0lbs,na,A,0.22,0.0022,2,,,
12april22,206,56lbs,g,A,6.8,0.068,2,,,
12april22,207,28lbs,r,A,5.47,0.0547,2,,,
12april22,208,28lbs,g,A,11.08,0.1108,2,,,
12april22,209,168lbs,g,A,32.46,0.3246,2,,,
12april22,301,56lbs,g,A,17.71,0.1771,3,,,
12april22,302,28lbs,g,A,20.6,0.206,3,,,
12april22,303,112lbs,r,A,18.74,0.1874,3,,,
12april22,304,28lbs,r,A,20.76,0.2076,3,,,
12april22,305,112lbs,g,A,19.62,0.1962,3,,,
12april22,306,168lbs,g,A,34.36,0.3436,3,,,
12april22,307,168lbs,r,A,23.95,0.2395,3,,,
12april22,308,56lbs,r,A,9.64,0.0964,3,,,
12april22,309,0lbs,na,A,0.05,0.0005,3,,,
12april22,101,112lbs,r,B_no_weeds,14.03,0.1403,1,,,
12april22,102,28lbs,r,B_no_weeds,15.93,0.1593,1,,,
12april22,103,112lbs,g,B_no_weeds,7.86,0.0786,1,,,
12april22,104,56lbs,r,B_no_weeds,17.69,0.1769,1,,,
12april22,105,168lbs,g,B_no_weeds,13.44,0.1344,1,,,
12april22,106,0lbs,na,B_no_weeds,0,0,1,,,
12april22,107,56lbs,g,B_no_weeds,17.49,0.1749,1,,,
12april22,108,28lbs,g,B_no_weeds,10.52,0.1052,1,,,
12april22,109,168lbs,r,B_no_weeds,14.02,0.1402,1,,,
12april22,201,112lbs,g,B_no_weeds,11.95,0.1195,2,,,
12april22,202,168lbs,r,B_no_weeds,11.51,0.1151,2,,,
12april22,203,112lbs,r,B_no_weeds,8.9,0.089,2,,,
12april22,204,56lbs,r,B_no_weeds,8.26,0.0826,2,,,
12april22,205,0lbs,na,B_no_weeds,0.01,0.0001,2,,,
12april22,206,56lbs,g,B_no_weeds,7.87,0.0787,2,,,
12april22,207,28lbs,r,B_no_weeds,10.38,0.1038,2,,,
12april22,208,28lbs,g,B_no_weeds,7.94,0.0794,2,,,
12april22,209,168lbs,g,B_no_weeds,9.2,0.092,2,,,
12april22,301,56lbs,g,B_no_weeds,11.74,0.1174,3,,,
12april22,302,28lbs,g,B_no_weeds,16.1,0.161,3,,,
12april22,303,112lbs,r,B_no_weeds,15.22,0.1522,3,,,
12april22,304,28lbs,r,B_no_weeds,7.74,0.0774,3,,,
12april22,305,112lbs,g,B_no_weeds,16.44,0.1644,3,,,
12april22,306,168lbs,g,B_no_weeds,13.65,0.1365,3,,,
12april22,307,168lbs,r,B_no_weeds,17.51,0.1751,3,,,
12april22,308,56lbs,r,B_no_weeds,13.72,0.1372,3,,,
12april22,309,0lbs,na,B_no_weeds,0.02,0.0002,3,,,
12april22,101,112lbs,r,B_weedy,13.35,0.1335,1,,,
12april22,102,28lbs,r,B_weedy,16.19,0.1619,1,,,
12april22,103,112lbs,g,B_weedy,6.83,0.0683,1,,,
12april22,104,56lbs,r,B_weedy,17.93,0.1793,1,,,
12april22,105,168lbs,g,B_weedy,12.47,0.1247,1,,,
12april22,106,0lbs,na,B_weedy,0.01,0.0001,1,,,
12april22,107,56lbs,g,B_weedy,18.39,0.1839,1,,,
12april22,108,28lbs,g,B_weedy,11.16,0.1116,1,,,
12april22,109,168lbs,r,B_weedy,14.85,0.1485,1,,,
12april22,201,112lbs,g,B_weedy,12.73,0.1273,2,,,
12april22,202,168lbs,r,B_weedy,12.67,0.1267,2,,,
12april22,203,112lbs,r,B_weedy,9.14,0.0914,2,,,
12april22,204,56lbs,r,B_weedy,8.68,0.0868,2,,,
12april22,205,0lbs,na,B_weedy,0.19,0.0019,2,,,
12april22,206,56lbs,g,B_weedy,7.82,0.0782,2,,,
12april22,207,28lbs,r,B_weedy,11.03,0.1103,2,,,
12april22,208,28lbs,g,B_weedy,8.42,0.0842,2,,,
12april22,209,168lbs,g,B_weedy,8.96,0.0896,2,,,
12april22,301,56lbs,g,B_weedy,12.84,0.1284,3,,,
12april22,302,28lbs,g,B_weedy,16.34,0.1634,3,,,
12april22,303,112lbs,r,B_weedy,15.51,0.1551,3,,,
12april22,304,28lbs,r,B_weedy,8.28,0.0828,3,,,
12april22,305,112lbs,g,B_weedy,17.65,0.1765,3,,,
12april22,306,168lbs,g,B_weedy,13.04,0.1304,3,,,
12april22,307,168lbs,r,B_weedy,17.37,0.1737,3,,,
12april22,308,56lbs,r,B_weedy,14.19,0.1419,3,,,
12april22,309,0lbs,na,B_weedy,0.36,0.0036,3,,,
12april22,101,112lbs,r,B_no_rye_calc,-0.68,-0.0068,1,,,
12april22,102,28lbs,r,B_no_rye_calc,0.26,0.0026,1,,,
12april22,103,112lbs,g,B_no_rye_calc,-1.03,-0.0103,1,,,
12april22,104,56lbs,r,B_no_rye_calc,0.24,0.0024,1,,,
12april22,105,168lbs,g,B_no_rye_calc,-0.97,-0.0097,1,,,
12april22,106,0lbs,na,B_no_rye_calc,0.01,0.0001,1,,,
12april22,107,56lbs,g,B_no_rye_calc,0.9,0.009,1,,,
12april22,108,28lbs,g,B_no_rye_calc,0.64,0.0064,1,,,
12april22,109,168lbs,r,B_no_rye_calc,0.83,0.0083,1,,,
12april22,201,112lbs,g,B_no_rye_calc,0.78,0.0078,2,,,
12april22,202,168lbs,r,B_no_rye_calc,1.16,0.0116,2,,,
12april22,203,112lbs,r,B_no_rye_calc,0.24,0.0024,2,,,
12april22,204,56lbs,r,B_no_rye_calc,0.42,0.0042,2,,,
12april22,205,0lbs,na,B_no_rye_calc,0.18,0.0018,2,,,
12april22,206,56lbs,g,B_no_rye_calc,-0.05,-0.0005,2,,,
12april22,207,28lbs,r,B_no_rye_calc,0.65,0.0065,2,,,
12april22,208,28lbs,g,B_no_rye_calc,0.48,0.0048,2,,,
12april22,209,168lbs,g,B_no_rye_calc,-0.24,-0.0024,2,,,
12april22,301,56lbs,g,B_no_rye_calc,1.1,0.011,3,,,
12april22,302,28lbs,g,B_no_rye_calc,0.24,0.0024,3,,,
12april22,303,112lbs,r,B_no_rye_calc,0.29,0.0029,3,,,
12april22,304,28lbs,r,B_no_rye_calc,0.54,0.0054,3,,,
12april22,305,112lbs,g,B_no_rye_calc,1.21,0.0121,3,,,
12april22,306,168lbs,g,B_no_rye_calc,-0.61,-0.0061,3,,,
12april22,307,168lbs,r,B_no_rye_calc,-0.14,-0.0014,3,,,
12april22,308,56lbs,r,B_no_rye_calc,0.47,0.0047,3,,,
12april22,309,0lbs,na,B_no_rye_calc,0.34,0.0034,3,,,