DATE,PLOT,QUADRAT,RATE,PATTERN,STEME,ERPVE,CERVU,VIOAR,CARHI,LAMAM,VERAR,UNKNOWN_ROSETTE,UNKNOWNROSETTE-DISSECTED,DANDELION,THISLE SPP
12-Apr-22,101,B,112lbs,r,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,102,B,28lbs,r,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,103,B,112lbs,g,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,104,B,56lbs,r,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,105,B,168lbs,g,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
12-Apr-22,106,B,0lbs,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,107,B,56lbs,g,34,4,NA,1,NA,1,NA,NA,NA,NA,NA
12-Apr-22,108,B,28lbs,g,4,4,1,NA,NA,NA,NA,1,NA,NA,NA
12-Apr-22,109,B,168lbs,r,14,2,NA,NA,NA,1,NA,NA,NA,NA,NA
12-Apr-22,201,B,112lbs,g,3,4,NA,NA,NA,1,NA,NA,NA,NA,NA
12-Apr-22,202,B,168lbs,r,6,11,NA,2,NA,1,2,NA,NA,NA,NA
12-Apr-22,203,B,112lbs,r,7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12-Apr-22,204,B,56lbs,r,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA
12-Apr-22,205,B,0lbs,na,8,13,NA,2,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,206,B,56lbs,g,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,207,B,28lbs,r,2,16,NA,NA,NA,1,NA,NA,NA,NA,NA
12-Apr-22,208,B,28lbs,g,8,6,NA,NA,2,NA,NA,NA,NA,NA,NA
12-Apr-22,209,B,168lbs,g,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,301,B,56lbs,g,5,5,NA,NA,NA,2,NA,NA,1,1,NA
12-Apr-22,302,B,28lbs,g,6,8,NA,NA,NA,1,1,1,NA,NA,NA
12-Apr-22,303,B,112lbs,r,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12-Apr-22,304,B,28lbs,r,5,2,NA,NA,NA,NA,NA,2,NA,NA,NA
12-Apr-22,305,B,112lbs,g,4,1,NA,NA,2,NA,NA,NA,NA,NA,1
12-Apr-22,306,B,168lbs,g,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-Apr-22,307,B,168lbs,r,6,2,1,NA,NA,NA,NA,NA,NA,1,NA
12-Apr-22,308,B,56lbs,r,8,5,NA,NA,2,NA,NA,NA,NA,NA,NA
12-Apr-22,309,B,0lbs,na,9,5,NA,NA,1,1,NA,1,NA,NA,NA