plot,block,rate,pattern,setfa,ambel,cheal,setpu,amare,abuth,oxast,secce,tarof,erica,digsa,digis,steme,trfre,angar,accvi,polco,plala,cypes,prnso,poaan,
101,1,28,row,16.1,32.1,0.9,0,0,0,0.349,3.8,0.309,0,0.324,2,0,0,0,0,0,0,0,0.026,0,
102,1,112,row,15.5,6.2,0.073,1.4,0,0,0,4.9,1,0,0.9,5.7,0.02,0.148,0,0,0,0,0,0,0,
103,1,112,grid,9.8,14.3,0,2.2,0.046,0,0.024,1.4,0.8,0,0.308,1.562,0,0,0,0,0,0,0.098,0,0.024,
104,1,168,grid,8.3,23.7,0.161,0,0,0.009,0.288,3.1,0.048,0,0.086,0,0,0,0,0,0,0,0,0,0,
105,1,168,row,10.2,22.7,0.002,0.589,0.006,0,0.033,3,0.016,0,0,0,0.108,0,0,0,0,0,1.5,0,0,
106,1,28,grid,21.7,60.6,0.109,0.4,0.012,0.257,0,9.8,0,0,0,0,0,0,0.091,0,0,0,0,0,0,
107,1,56,grid,12.7,44.8,0,0,0.186,0.187,0.162,8.1,0.012,0,0,0.101,0,0,0,0,0,0,0,0,0,
108,1,0,na,28.2,179.9,14,0,0,0,0.108,0,0,0.025,0,0,0,0,0,0,0,0,0.9,0,0,
109,1,56,row,8.2,39.7,0.164,0.323,0.134,0,0.193,2.8,0.353,0.057,0,0,0,0,0,0,0,0,0.351,0,0,
201,2,56,grid,10.3,35.4,0,0,0.035,0,0.064,24.625,0.023,0.046,0,0,0,0,0,0,0.8,0,0,0,0,
202,2,56,row,15.6,37.9,0,0,0,0.191,0.045,18.8,0.01,0,0,0.062,0,0,0,0,0,0,0.231,0,0,
203,2,168,row,7.3,15.5,0,0,0,0.9,0.293,9.8,0.041,0,0,0,0,0,0,0,0,0.073,0.075,0.147,0,
204,2,28,row,16.5,26.1,0,0,0.087,0.037,0.044,9.6,0,0.214,0,0,0,0,0,0,0,0,0,0,0,
205,2,0,na,14.3,171.9,0.8,0,0,0,0.615,0,0,0.043,0,0,0,0,0,0,0,0,0.086,0,0,
206,2,168,grid,3.3,30.8,0.059,0,0,0.288,0.157,0.8,0.364,0,0,0,0,0,0.105,0,0,0,0,0,0,
207,2,28,grid,14.3,103.7,0.089,0,0.028,0,0.003,19.3,0.082,0,0,0,0,0,0,0,0,0,0,0,0,
208,2,112,grid,6.1,48.3,0.154,0.151,0.032,0.051,0.016,12.7,0.013,0,0,0,0,0.635,0,0,0,0,0,0,0,
209,2,112,row,11.3,39.5,0.085,0,0.003,0.08,0.116,8.5,0.157,0,0,0,0,0.063,0,0,0,0,0,0.184,0,
301,3,0,na,10.7,147.3,175.7,0,0,0,0.057,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,
302,3,56,row,12.5,26.9,0.221,0,0.104,0,0,11.4,0.089,0,0,0,0,0.4,0,0,0,0,0,0,0,
303,3,56,grid,16.7,42.7,0.104,0,0,0.029,0.147,9.1,0.153,0,0,0,0,0,0,0,0,0,0,0,0,
304,3,112,row,9.1,13.6,0,0.107,0,0,0.145,3.6,4.3,0,0,0,0,0,0,0,0,0,0,0,0,
305,3,168,row,6.5,23.4,0,1,0.06,0.006,0,2.2,0.108,0,0,0,0,0,0,0,0,0,0,0,0,
306,3,28,row,11,31.6,0.8,1.5,0,0,0.5,0,14,0,0.094,0.287,0,0,0,0,0,0,0.123,0,0,
307,3,28,grid,3.9,25.1,0.308,3.3,0.015,0,0.153,2.2,0.497,0,0,0,0,0.2,0,0,0,0,0,0,0,
308,3,168,grid,4.4,22.9,0,0.695,0,0,0.079,0.7,3.5,0,0,0,0,0,0,0,0,0,0.21,0,0,
309,3,112,grid,5.9,9.1,0,0.23,0,0.127,0,1,8.1,0,0,0.246,0,0,0,0.007,0,0,0,0,0,