plot,bio_0.5m2,rate,pattern,germinated_seeds,germ_ratio,viable_seeds,seeds
101,31.2,112,r,36,0.36,37.44,104
102,22.9,28,r,53,0.53,257.05,485
103,13.2,112,g,26,0.26,27.3,105
104,25.9,56,r,39,0.39,196.17,503
105,26.9,168,g,65,0.65,162.5,250
107,23.3,56,g,57,0.57,217.74,382
108,15.3,28,g,58,0.58,237.8,410
109,55.1,168,r,31,0.31,41.23,133
201,31.1,112,g,50,0.5,106.5,213
202,29.3,168,r,32,0.4,32,80
203,22.9,112,r,46,0.46,74.06,161
204,16.6,56,r,26,0.26,44.46,171
206,22,56,g,54,0.54,165.24,306
207,22.1,28,r,70,0.7,317.1,453
208,17.6,28,g,42,0.42,225.54,537
209,17,168,g,66,0.66,174.9,265
301,52,56,g,41,0.41,188.19,459
302,19.6,28,g,45,0.45,268.2,596
303,21.8,112,r,65,0.65,209.95,323
304,10.3,28,r,46,0.46,203.32,442
305,9.3,112,g,51,0.51,66.81,131
306,15.1,168,g,55,0.55,100.1,182
307,23.9,168,r,42,0.42,49.14,117
308,8.7,56,r,61,0.61,356.85,585